ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2061,dcPolTetr1,sourmash_db_filter_containment_20%,15,766,33,742,0.019206145966709345,0.3125,0.4865038560411311,0.0361881785283474,48,1519,319,55,15
RC-2061,dcPolTetr1,sourmash_db_filter_kmers_2,28,1160,20,336,0.02356902356902357,0.5833333333333334,0.23575129533678757,0.045307443365695796,48,1519,319,55,28
RC-2061,dcPolTetr1,sourmash_db_filter_kmers_10,27,1154,21,342,0.02286198137171888,0.5625,0.23898963730569947,0.04393816110659072,48,1519,319,55,27
RC-2061,dcPolTetr1,sourmash_db_filter_kmers_50,6,437,42,1076,0.013544018058690745,0.125,0.6931454196028187,0.024439918533604887,48,1519,319,55,6
RC-2061,dcPolTetr1,sourmash_db_filter_kmers_100,0,27,48,1492,0.0,0.0,0.9521378430121251,0,48,1519,319,55,0
RC-2065,ilIdaTrig2,fcs,35,13,0,2,0.7291666666666666,1.0,0.74,0.8433734939759037,35,15,-,35,35
RC-2065,ilIdaTrig2,tiara,35,13,0,2,0.7291666666666666,1.0,0.74,0.8433734939759037,35,15,-,35,35
RC-2065,ilIdaTrig2,fcs+tiara,0,13,0,2,0.0,0,0.13333333333333333,0,0,15,-,35,0
RC-2065,ilIdaTrig2,sourmash_without_filters,35,15,0,0,0.7,1.0,0.7,0.8235294117647058,35,15,11,35,35
RC-2065,ilIdaTrig2,sourmash_db_filter_published_assembly,35,15,0,0,0.7,1.0,0.7,0.8235294117647058,35,15,11,35,35
RC-2065,ilIdaTrig2,sourmash_db_filter_topN_3,26,15,9,0,0.6341463414634146,0.7428571428571429,0.52,0.6842105263157895,35,15,11,35,26
RC-2065,ilIdaTrig2,sourmash_db_filter_topN_10,26,15,9,0,0.6341463414634146,0.7428571428571429,0.52,0.6842105263157895,35,15,11,35,26
RC-2065,ilIdaTrig2,sourmash_db_filter_topN_50,26,15,9,0,0.6341463414634146,0.7428571428571429,0.52,0.6842105263157895,35,15,11,35,26
RC-2065,ilIdaTrig2,sourmash_db_filter_topN_100,26,15,9,0,0.6341463414634146,0.7428571428571429,0.52,0.6842105263157895,35,15,11,35,26
RC-2065,ilIdaTrig2,sourmash_db_filter_containment_0%,26,15,9,0,0.6341463414634146,0.7428571428571429,0.52,0.6842105263157895,35,15,11,35,26
RC-2065,ilIdaTrig2,sourmash_db_filter_containment_1%,26,15,9,0,0.6341463414634146,0.7428571428571429,0.52,0.6842105263157895,35,15,11,35,26
RC-2065,ilIdaTrig2,sourmash_db_filter_containment_10%,0,5,35,10,0.0,0.0,0.2,0,35,15,11,35,0
RC-2065,ilIdaTrig2,sourmash_db_filter_containment_20%,0,4,35,11,0.0,0.0,0.22,0,35,15,11,35,0
RC-2065,ilIdaTrig2,sourmash_db_filter_kmers_2,26,15,9,0,0.6341463414634146,0.7428571428571429,0.52,0.6842105263157895,35,15,11,35,26
RC-2065,ilIdaTrig2,sourmash_db_filter_kmers_10,23,6,12,9,0.7931034482758621,0.6571428571428571,0.64,0.71875,35,15,11,35,23
RC-2065,ilIdaTrig2,sourmash_db_filter_kmers_50,20,2,15,13,0.9090909090909091,0.5714285714285714,0.66,0.7017543859649122,35,15,11,35,20
RC-2065,ilIdaTrig2,sourmash_db_filter_kmers_100,20,2,15,13,0.9090909090909091,0.5714285714285714,0.66,0.7017543859649122,35,15,11,35,20
RC-2086,ilAriNici1,fcs,46,66,0,12,0.4107142857142857,1.0,0.46774193548387094,0.5822784810126582,46,78,-,46,46
RC-2086,ilAriNici1,tiara,46,64,0,14,0.41818181818181815,1.0,0.4838709677419355,0.5897435897435896,46,78,-,46,46
RC-2086,ilAriNici1,fcs+tiara,0,65,0,13,0.0,0,0.16666666666666666,0,0,78,-,46,0
RC-2086,ilAriNici1,sourmash_without_filters,46,77,0,1,0.37398373983739835,1.0,0.3790322580645161,0.5443786982248521,46,78,1,46,46
RC-2086,ilAriNici1,sourmash_db_filter_published_assembly,46,77,0,1,0.37398373983739835,1.0,0.3790322580645161,0.5443786982248521,46,78,1,46,46
RC-2086,ilAriNici1,sourmash_db_filter_topN_3,46,66,0,12,0.4107142857142857,1.0,0.46774193548387094,0.5822784810126582,46,78,1,46,46
RC-2086,ilAriNici1,sourmash_db_filter_topN_10,46,76,0,2,0.3770491803278688,1.0,0.3870967741935484,0.5476190476190476,46,78,1,46,46
RC-2086,ilAriNici1,sourmash_db_filter_topN_50,46,76,0,2,0.3770491803278688,1.0,0.3870967741935484,0.5476190476190476,46,78,1,46,46
RC-2086,ilAriNici1,sourmash_db_filter_topN_100,46,76,0,2,0.3770491803278688,1.0,0.3870967741935484,0.5476190476190476,46,78,1,46,46
