ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2788,caAndHook4,fcs+tiara,140,17,0,38,0.89171974522293,1.0,0.9128205128205128,0.9427609427609428,140,55,-,137,137
RC-2788,caAndHook4,sourmash_without_filters,140,43,0,12,0.7650273224043715,1.0,0.7794871794871795,0.8668730650154799,140,55,26,137,137
RC-2788,caAndHook4,sourmash_db_filter_published_assembly,92,26,48,29,0.7796610169491526,0.6571428571428571,0.6205128205128205,0.7131782945736433,140,55,117,137,89
RC-2788,caAndHook4,sourmash_db_filter_topN_3,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_topN_10,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_topN_50,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_topN_100,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_containment_0%,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_containment_1%,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_containment_10%,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_containment_20%,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_kmers_2,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_kmers_10,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_kmers_50,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2788,caAndHook4,sourmash_db_filter_kmers_100,1,0,139,55,1.0,0.007142857142857143,0.28717948717948716,0.014184397163120567,140,55,117,137,0
RC-2826,xbHipHipp7,fcs,209,209,0,9859,0.5,1.0,0.9796633258733093,0.6666666666666666,209,10068,-,44,44
RC-2826,xbHipHipp7,tiara,209,10068,0,0,0.020336674126690667,1.0,0.020336674126690667,0.03986267404157925,209,10068,-,44,44
RC-2826,xbHipHipp7,fcs+tiara,209,209,0,9859,0.5,1.0,0.9796633258733093,0.6666666666666666,209,10068,-,44,44
RC-2826,xbHipHipp7,sourmash_without_filters,209,2119,0,7949,0.0897766323024055,1.0,0.7938114235671889,0.1647615293653922,209,10068,17,44,44
RC-2826,xbHipHipp7,sourmash_db_filter_published_assembly,195,1651,14,8417,0.1056338028169014,0.9330143540669856,0.8379877396127274,0.1897810218978102,209,10068,101,44,44
